artist_id1;artist_id2
1vyhD5VmyZ7KMfW5gqLgo5;47MpMsUfWtgyIIBEFOr4FE
1vyhD5VmyZ7KMfW5gqLgo5;14zUHaJZo1mnYtn6IBRaRP
1vyhD5VmyZ7KMfW5gqLgo5;3EiLUeyEcA6fbRPSHkG5kb
1vyhD5VmyZ7KMfW5gqLgo5;1i8SpTcr7yvPOmcqrbnVXY
1vyhD5VmyZ7KMfW5gqLgo5;00me4Ke1LsvMxt5kydlMyU
1vyhD5VmyZ7KMfW5gqLgo5;2OHKEe204spO7G7NcbeO2o
1uNFoZAHBGtllmzznpCI3s;5ZsFI1h6hIdQRw2ti0hz81
1uNFoZAHBGtllmzznpCI3s;1Hsdzj7Dlq2I7tHP7501T4
1uNFoZAHBGtllmzznpCI3s;1l8Fu6IkuTP0U5QetQJ5Xt
1uNFoZAHBGtllmzznpCI3s;5pUo3fmmHT8bhCyHE52hA6
1uNFoZAHBGtllmzznpCI3s;4nDoRrQiYLoBzwC5BhVJzF
1uNFoZAHBGtllmzznpCI3s;0C8ZW7ezQVs4URX5aX7Kqx
1uNFoZAHBGtllmzznpCI3s;2wUjUUtkb5lvLKcGKsKqsR
1uNFoZAHBGtllmzznpCI3s;6S2OmqARrzebs0tKUEyXyp
1uNFoZAHBGtllmzznpCI3s;4GvEc3ANtPPjt1ZJllr5Zl
1uNFoZAHBGtllmzznpCI3s;1Xylc3o4UrD53lo9CvFvVg
1uNFoZAHBGtllmzznpCI3s;7n2wHs1TKAczGzO7Dd2rGr
1uNFoZAHBGtllmzznpCI3s;1BhWF9W2PngtPSyobKg0rP
1uNFoZAHBGtllmzznpCI3s;5Y8eJDj37KhaEeqbVO7Ag1
1uNFoZAHBGtllmzznpCI3s;5YGY8feqx7naU7z4HrwZM6
1uNFoZAHBGtllmzznpCI3s;7gAppWoH7pcYmphCVTXkzs
1uNFoZAHBGtllmzznpCI3s;4Rxn7Im3LGfyRkY2FlHhWi
1uNFoZAHBGtllmzznpCI3s;4AK6F7OLvEQ5QYCBNiQWHq
1uNFoZAHBGtllmzznpCI3s;5p7f24Rk5HkUZsaS3BLG5F
1uNFoZAHBGtllmzznpCI3s;0cGUm45nv7Z6M6qdXYQGTX
4q3ewBCX7sLwd24euuV69X;00XhexlJEXQstHimpZN910
4q3ewBCX7sLwd24euuV69X;5hdhHgpxyniooUiQVaPxQ0
4q3ewBCX7sLwd24euuV69X;2R21vXR83lH98kGeO99Y66
4q3ewBCX7sLwd24euuV69X;47MpMsUfWtgyIIBEFOr4FE
4q3ewBCX7sLwd24euuV69X;6w9ToX5slZ4uIdmD17hJ3c
4q3ewBCX7sLwd24euuV69X;7iK8PXO48WeuP03g8YR51W
4q3ewBCX7sLwd24euuV69X;1jSjfSgDjedJdi5MoyRu78
4q3ewBCX7sLwd24euuV69X;1fctva4kpRbg2k3v7kwRuS
4q3ewBCX7sLwd24euuV69X;1pf0MPKfKdvS8J779mS1Ay
4q3ewBCX7sLwd24euuV69X;1fux65HMCBvfJHqlBc4Nno
4q3ewBCX7sLwd24euuV69X;1i8SpTcr7yvPOmcqrbnVXY
4q3ewBCX7sLwd24euuV69X;790FomKkXshlbRYZFtlgla
4q3ewBCX7sLwd24euuV69X;2wkoKEfS6dXwThbyTnZWFU
4q3ewBCX7sLwd24euuV69X;1mcTU81TzQhprhouKaTkpq
4q3ewBCX7sLwd24euuV69X;2DspEsT7UXGKd2VaaedgG4
4q3ewBCX7sLwd24euuV69X;5bWUlnPx9OYKsLiUJrhCA1
4q3ewBCX7sLwd24euuV69X;1RBzGO6Nm3uyhUSxP7EDWO
4q3ewBCX7sLwd24euuV69X;3RtNN1VnooWEn3KQk03DUL
4q3ewBCX7sLwd24euuV69X;5H1nN1SzW0qNeUEZvuXjAj
4q3ewBCX7sLwd24euuV69X;0EFisYRi20PTADoJrifHrz
1i8SpTcr7yvPOmcqrbnVXY;5hdhHgpxyniooUiQVaPxQ0
1i8SpTcr7yvPOmcqrbnVXY;0qTZZWLzuD59Un5r1speHm
1i8SpTcr7yvPOmcqrbnVXY;790FomKkXshlbRYZFtlgla
1i8SpTcr7yvPOmcqrbnVXY;0tmwSHipWxN12fsoLcFU3B
1i8SpTcr7yvPOmcqrbnVXY;47MpMsUfWtgyIIBEFOr4FE
1i8SpTcr7yvPOmcqrbnVXY;00XhexlJEXQstHimpZN910
1i8SpTcr7yvPOmcqrbnVXY;1fctva4kpRbg2k3v7kwRuS
1i8SpTcr7yvPOmcqrbnVXY;5H1nN1SzW0qNeUEZvuXjAj
1i8SpTcr7yvPOmcqrbnVXY;1jSjfSgDjedJdi5MoyRu78
1i8SpTcr7yvPOmcqrbnVXY;6w9ToX5slZ4uIdmD17hJ3c
1i8SpTcr7yvPOmcqrbnVXY;1RBzGO6Nm3uyhUSxP7EDWO
1i8SpTcr7yvPOmcqrbnVXY;6kq4GHwUcUojGIu0ziSNXf
1i8SpTcr7yvPOmcqrbnVXY;2wkoKEfS6dXwThbyTnZWFU
1i8SpTcr7yvPOmcqrbnVXY;7iK8PXO48WeuP03g8YR51W
1i8SpTcr7yvPOmcqrbnVXY;1fux65HMCBvfJHqlBc4Nno
1i8SpTcr7yvPOmcqrbnVXY;2R21vXR83lH98kGeO99Y66
1i8SpTcr7yvPOmcqrbnVXY;3RtNN1VnooWEn3KQk03DUL
1i8SpTcr7yvPOmcqrbnVXY;1GAymyGBvB4gQy5Z5LZ1Wj
1i8SpTcr7yvPOmcqrbnVXY;3PAwspMN27PDm81WwXDsMf
1i8SpTcr7yvPOmcqrbnVXY;329e4yvIujISKGKz1BZZbO
