genre;artist_id
trap argentino;3hwgckfLtTHdnkf694c7HS
electropop;1o2NpYGqHiCq7FoiYdyd1x
indonesian pop;7CSVCLVcIfpaNCQh7BxqKN
estonian pop;7j6Zzcpz7gTNPh69USgO8C
vapor pop;1xkxEEm60IyknT2Eh469mX
post-teen pop;3AuMNF8rQAKOzjYppFNAoB
funk ostentacao;6Ywb1no2hXLazjIs4LUiQD
pop rock;7gjAu1qr5C2grXeQFFOGeh
san diego rap;2hWs22BmQkK4czFtDLnar2
finnish dance pop;3aD9K1zaLQ3G7yp9XV5E4D
filmi;3ZxZ03fj3tXBZHZWzvaLSM
rap;3TVXtAsR1Inumwj472S9r4
dance pop;7h7ahzbTkbAFsshWJ7fOrc
funk carioca;3CDoRporvSjdzTrm99a3gi
punjabi pop;56SjZARoEvag3RoKWIb16j
baile pop;1B0Rp4SWGnFgGCPU5Pju6E
trap;699OTQXzgjhIYAHMy9RyPD
tropical house;4WN5naL3ofxrVBgFpguzKo
cumbia pop;44hJXrVhoyA1fV1dn4wdHC
reggaeton flow;1pf0MPKfKdvS8J779mS1Ay
deep groove house;73Msd8rknjBghcGQiZ1mgh
edm;3TaUSUXn41GixL7zbvrIDt
colombian pop;682qzOnGxexrwH41Cy51Hu
dutch hip hop;0Jsk5iYMr5aNjHury7blm1
kazakh pop;4TjXA854eWs8P5EBgCbQmv
europop;71k6SmcYKiIPq8M2RxK2Jr
folk rock;2UZMlIwnkgAEDBsw1Rejkn
dance pop;1dIdBZaaHRW2bDTkHNfWln
house;26OrZl5U3VNGHU9qUj8EcM
latin pop;2cy1zPcrFcXAJTP0APWewL
latin;7BFnoFhJjLWcsqmN3Hizqg
colombian pop;0tmwSHipWxN12fsoLcFU3B
cali rap;4iDroUFo89Y7YBsdDTBmTD
bass house;5lVNSw2GPci8kebrAQpZqU
post-teen pop;5ZsFI1h6hIdQRw2ti0hz81
glam metal;0cc6vw3VN8YlIcvr1v7tBL
indonesian indie;5Tl7XjM9Y7Q2D9eIHz5GTO
indie folk;2uvY5pgdD9t1CZ5zMNw1rl
turkish trap pop;2QU0UNvQvEZ2fuRUhkUNq4
j-pop;2oNStf3CKKLM5lnzELWMcH
swedish trap pop;7lKk7yXNockkDjhb1GCeOy
tropical;47MpMsUfWtgyIIBEFOr4FE
latin metal;1db5TWniHR7iqwXer7AiQ2
psychedelic hip hop;2PU4qFehXQF7WnlFsJpBiJ
turkish trap pop;33rN00nPyd91h54THnCOcp
dance pop;5fahUm8t5c0GIdeTq0ZaG8
hip hop;1ZwdS5xdxEREPySFridCfh
southern hip hop;41klVmDluQZmGGqoidNfbe
pinoy pop punk;4GBFKKuwmZUnAJt6nBal7A
k-rap;3hvinNZRzTLoREmqFiKr1b
modern alternative rock;4kI8Ie27vjvonwaB2ePh8T
thai pop;7avbd4MMu89B9ueC3udvbf
karadeniz halk muzigi;1lIbZfJvMQRqzhtCQsg5EI
pop urbaine;7rTPCNINGzMp3Hc8Xqht5Z
metalcore;4NiJW4q9ichVqL1aUsgGAN
german underground rap;3Hvx3BM0K4FHBs9J3k8G6V
trap;5OrB6Jhhrl9y2PK0pSV4VP
rap feminino nacional;6ODCVWBfGNFUf1bpo0c2Ge
nueva cancion;2mSHY8JOR0nRi3mtHqVa04
thai indie rock;2wOi2qbLUki1fdXM14aki4
german pop;6dXL3SnQlCGX9LCUAyin6a
latin rock;30fEdZPXgWfC4sNttcyB3C
french rock;50OApTJurDusIo9dGTqSU4
finnish dance pop;5eDDKdMzwO9fODuj6lUEaG
polish hip hop;0QR764k0D36npmTMWx5bft
danish hip hop;0RjRKOa7U4I2rSj2FkJs4A
indietronica;5ivCbtrcD5N4rD337xIb2z
dance pop;1yxSLGMDHlW21z4YXirZDS
uk pop;5CCwRZC6euC8Odo6y9X8jr
psychedelic rock;39T6qqI0jDtSWWioX8eGJz
australian talent show;2wSrZOe6YVo6XoKma22sdY
pop urbaine;34f8p9RqbrZirJRJ8BX5WN
dutch house;20mCdWSz6PqFQof9gFFJ1r
norges stemme;3a0gvZAydt98HKVbGb0V67
latin arena pop;7FZj349hdLfD6qzXkJLuAh
french indie pop;4nx8ehrFiCOmWgebUKshDV
german hip hop;0b62itBWBdLgiecXjXCqKC
jazz rap;09hVIj6vWgoCDtT03h8ZCa
dominican pop;7mcJN2bWqCv7jvykgHp4KN
electro house;4RQQEu24E1oQAQXvkxsLxE
reggaeton flow;47MpMsUfWtgyIIBEFOr4FE
argentine rock;37MCoi4pcUf9EKsPXeuCqU
latin arena pop;5kSJMVPcTITrSZxTrHllVN
soft rock;0vn7UBvSQECKJm2817Yf1P
modern rock;3RbyaF3Pq6iDUKNp04AIcU
hungarian hip hop;6u7q0ZGK0oilVYx4kqIk3E
southern hip hop;6X8WdFjrNhXATMDSs26aCc
swedish gangsta rap;6ywXRaHY7m2DJ0dd7CsLAB
australian pop;5i84V8Zk7YqCN6xxb7SWgw
disco;2f9ZiYA2ic1r1voObUimdd
israeli pop;0xHa28taiElkcQf9o3z76g
spanish pop;4ByxGModIR7nXk4ZaVFdfO
country dawn;4xFUf1FHVy696Q1JQZMTRj
