artist_id,artist_name,is_main
3TVXtAsR1Inumwj472S9r4,Drake,t
246dkjvS1zLTtiykXe5h60,Post Malone,t
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,t
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,t
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,t
4q3ewBCX7sLwd24euuV69X,Bad Bunny,t
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,t
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,t
6LuN9FCkKOj5PcnpouEgny,Khalid,t
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,t
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,t
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,t
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,t
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,t
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,t
2R21vXR83lH98kGeO99Y66,Anuel Aa,t
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,t
1r4hJ1h58CWwUQe3MxPuau,Maluma,t
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,t
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,t
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,t
4kYSro6naA4h99UJvo89HB,Cardi B,t
26VFTg2z8YR0cCuwLzESi2,Halsey,t
7CajNmpbOovFoOoasH2HaY,Calvin Harris,t
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,t
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,t
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,t
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,t
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,t
2wY79sveU1sp5g7SokKOiI,Sam Smith,t
1RyvyyTE3xzB2ZywiAwp0i,Future,t
329e4yvIujISKGKz1BZZbO,Farruko,t
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,t
04gDigrS5kc9YWfZHwBETP,Maroon 5,t
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,t
23fqKkggKUBHNkbKtXEls4,Kygo,t
1URnnhqYAYcrqrcwql10ft,21 Savage,t
64KEffDW9EtZ1y2vBYgq8T,Marshmello,t
0VRj0yCOv2FXJNP47XQnx5,Quavo,t
540vIaP2JwjQb9dm3aArA4,DJ Snake,t
5WUlDfRSoLAfcVSX1WnrxN,Sia,t
50co4Is1HCEo8bhOyUWKpn,Young Thug,t
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,t
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,t
77ziqFxp5gaInVrF2lj4ht,Sech,t
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,t
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,t
738wLrAtLtCtFOLvQBXOXp,Major Lazer,t
7dGJo4pcD2V6oG8kP0tJRR,Eminem,t
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,t
